acc,loss,val_acc,val_loss
0.1171875,3.225600242614746,0.09375,3.3759303092956543
0.5234375,1.5584275722503662,0.4140625,1.7271455526351929
0.6875,0.8132988810539246,0.625,1.1182870864868164
0.8125,0.5458983778953552,0.6015625,1.328050136566162
0.765625,0.5441864728927612,0.640625,1.2557721138000488
0.796875,0.4046124517917633,0.625,1.6149908304214478
0.875,0.3112154006958008,0.6171875,1.5923404693603516
0.828125,0.5663517117500305,0.609375,1.9933741092681885
0.9375,0.15294161438941956,0.640625,1.5866217613220215
0.90625,0.29957446455955505,0.609375,1.9157967567443848
